Ae (mm),Ap (mm),f (mm/min),N (rpm),R (mm),Z,fz,Vc,sim_file,phi_eng_deg,phi_out_deg,phi_in_deg,sigma_run_Nmm,snr_db
38,1.0,569.16,1897.2,20,2,0.15,238.40918329562223,sim_053_ae38_ap1_N1897.2_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.2050428606048933,18.08212157343369
32,1.0,569.16,1897.2,20,2,0.15,238.40918329562223,sim_054_ae32_ap1_N1897.2_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.20485497359563987,19.57719628579871
26,1.0,569.16,1897.2,20,2,0.15,238.40918329562223,sim_055_ae26_ap1_N1897.2_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.2170497510237582,19.736191359202
40,1.0,695.64,2318.8,20,2,0.15,291.3890018057605,sim_056_ae40_ap1_N2318.8_fz0.1500.csv,180.0,180.0,0.0,0.2149800109563455,16.260245005888287
38,1.0,695.64,2318.8,20,2,0.15,291.3890018057605,sim_057_ae38_ap1_N2318.8_fz0.1500.csv,154.15806723683286,180.0,25.841932763167126,0.20443303488141862,18.087920139543645
32,1.0,695.64,2318.8,20,2,0.15,291.3890018057605,sim_058_ae32_ap1_N2318.8_fz0.1500.csv,126.86989764584403,180.0,53.13010235415596,0.19462789273780753,19.57884757102431
26,1.0,695.64,2318.8,20,2,0.15,291.3890018057605,sim_059_ae26_ap1_N2318.8_fz0.1500.csv,107.4576031237221,180.0,72.5423968762779,0.18586496138976646,19.73603626944559
40,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_060_ae40_ap1_N2108.0_fz0.1499.csv,180.0,180.0,0.0,0.21970689774988897,16.25653007279246
38,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_061_ae38_ap1_N2108.0_fz0.1499.csv,154.15806723683286,180.0,25.841932763167126,0.2249207227833546,18.081726710936344
32,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_062_ae32_ap1_N2108.0_fz0.1499.csv,126.86989764584403,180.0,53.13010235415596,0.2076645984314469,19.573770830220912
26,1.0,632.0,2108.0,20,2,0.14990512333965844,264.8990925506913,sim_063_ae26_ap1_N2108.0_fz0.1499.csv,107.4576031237221,180.0,72.5423968762779,0.21623898321232687,19.731759402534973
